cvss_letters|description
LCCC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LCCN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным и нарушить их целостность
LCCP|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LCNC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
LCNN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным
LCNP|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
LCPC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LCPN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным и нарушить их целостность
LCPP|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LNCC|. Эксплуатация уязвимости позволяет нарушителю, нарушить целостность данных, а также вызвать отказ в обслуживании
LNCN|. Эксплуатация уязвимости позволяет нарушителю, оказать воздействие на целостность данных
LNCP|. Эксплуатация уязвимости позволяет нарушителю, нарушить целостность данных, а также вызвать отказ в обслуживании
LNNC|. Эксплуатация уязвимости позволяет нарушителю, вызвать отказ в обслуживании
LNNP|. Эксплуатация уязвимости позволяет нарушителю, вызвать отказ в обслуживании
LNPC|. Эксплуатация уязвимости позволяет нарушителю, нарушить целостность данных, а также вызвать отказ в обслуживании
LNPN|. Эксплуатация уязвимости позволяет нарушителю, оказать воздействие на целостность данных
LNPP|. Эксплуатация уязвимости позволяет нарушителю, нарушить целостность данных, а также вызвать отказ в обслуживании
LPCC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LPCN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным и нарушить их целостность
LPCP|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LPNC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
LPNN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным
LPNP|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
LPPC|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
LPPN|. Эксплуатация уязвимости позволяет нарушителю, получить доступ к конфиденциальным данным и нарушить их целостность
