cvss_letters|naming
PNN|, позволяющая нарушителю получить доступ к конфиденциальным данным
NPN|, позволяющая нарушителю оказать воздействие на целостность данных
NNP|, позволяющая нарушителю вызвать отказ в обслуживании
PPP|, позволяющая нарушителю получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
PPN|, позволяющая нарушителю получить доступ к конфиденциальным данным и нарушить их целостность
NPP|, позволяющая нарушителю нарушить целостность данных, а также вызвать отказ в обслуживании
PNP|, позволяющая нарушителю получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
CNN|, позволяющая нарушителю получить доступ к конфиденциальным данным
NCN|, позволяющая нарушителю оказать воздействие на целостность данных
NNC|, позволяющая нарушителю вызвать отказ в обслуживании
CCC|, позволяющая нарушителю получить доступ к конфиденциальным данным, нарушить их целостность, а также вызвать отказ в обслуживании
CCN|, позволяющая нарушителю получить доступ к конфиденциальным данным и нарушить их целостность
NCC|, позволяющая нарушителю нарушить целостность данных, а также вызвать отказ в обслуживании
CNC|, позволяющая нарушителю получить доступ к конфиденциальным данным, а также вызвать отказ в обслуживании
